,label,eeg-ch-12-Delta-mu,eeg-ch-13-Theta-skew,eeg-ch-27-Delta-mu,eeg-ch-27-Delta-std,eeg-ch-27-Theta-mu,eeg-ch-30-Theta-skew,eeg-ch-30-Alpha-skew,eeg-ch-30-Beta-skew,eeg-ch-31-Beta-kurt,hb-fnirs-ch-0-Heartbeat-kurt,hb-fnirs-ch-1-LFO-kurt,hb-fnirs-ch-1-Respiration-skew,hb-fnirs-ch-2-Respiration-skew,hb-fnirs-ch-3-VLFO-kurt,hb-fnirs-ch-3-Heartbeat-mu,hb-fnirs-ch-4-VLFO-skew,hbo-fnirs-ch-0-Heartbeat-kurt,hbo-fnirs-ch-1-LFO-kurt,hbo-fnirs-ch-1-Respiration-skew,hbo-fnirs-ch-1-Heartbeat-mu,hbo-fnirs-ch-3-VLFO-kurt,hbo-fnirs-ch-3-Heartbeat-mu,hbo-fnirs-ch-4-VLFO-skew,hbo-fnirs-ch-4-Heartbeat-skew
0,0,0.0005256120930425,-0.0658906223854161,-0.0022750801872462,0.0559549704194068,-0.0006260937661863,-0.061695813528171,0.0323993428053709,-0.0270817761506205,0.0854166779048588,0.0428793457778664,1.6165922373905692,-0.1170397643524781,0.1934693816826892,-0.0058233837508474,0.0002930200948492,-0.1206184840968616,0.0428793457778664,1.6165922373905692,-0.1170397643524781,-0.0013751825231023,-0.0058233837508474,0.0002930200948492,-0.1206184840968616,-0.127319456410749
1,0,-0.0008739412296563,0.4859304191915932,0.0003326422884128,0.0176963824778795,0.0001104985276469,0.4980194187450017,0.4992954498722419,0.3997900315052142,-0.281524453122902,-0.275458004408958,0.514815218274038,-0.1254251883219276,-0.2620465587823307,-0.0953309235845289,0.0017740766350735,-0.177204955751876,-0.275458004408958,0.514815218274038,-0.1254251883219276,-0.0003986878290713,-0.0953309235845289,0.0017740766350735,-0.177204955751876,-0.0504891421994668
2,0,0.000582413864322,0.0980975388342064,-0.0007688986370339,0.0224302224814891,-0.0005715903826057,0.0646133439951922,0.0656500843209466,-0.0802952401195605,0.2207829731458481,-0.6329201359842829,2.6935082171340508,0.2089507243546516,0.4017535284818203,-0.2297696783301779,0.000119749510315,0.0893967463236924,-0.6329201359842829,2.6935082171340508,0.2089507243546516,-0.0007220359256545,-0.2297696783301779,0.000119749510315,0.0893967463236924,-0.0889682311245497
3,0,-0.0100908521562814,-5.227299761066835,-0.0100911604240536,0.0251822061836719,-0.0016512074507772,-5.227420566464391,-7.086694469569339,-9.74703127073148,99.50794417110971,-0.7567620354131415,0.8802601552305602,0.0713062795225705,0.0371650258661103,-0.3869569755184274,0.0030716633258158,-0.0789938458324444,-0.7567620354131415,0.8802601552305602,0.0713062795225705,-0.0014639041256987,-0.3869569755184274,0.0030716633258158,-0.0789938458324444,0.0199467726552713
4,0,-0.0100891077890992,-5.22735166168579,-0.0100910728797316,0.0251812804490327,-0.0016511885914951,-5.227384263113308,-7.086772968221817,-9.747072926629905,99.5097722178702,-0.467249614518979,0.7548781956063673,-0.0407644497984519,0.12882312221073,-0.1347012095780626,0.0010963292515653,0.346131966420045,-0.467249614518979,0.7548781956063673,-0.0407644497984519,-0.0008292108900337,-0.1347012095780626,0.0010963292515653,0.346131966420045,0.2812299138665609
5,0,-0.0100908959284424,-5.227368578157667,-0.0100904302671551,0.0251790732145309,-0.0016510835848748,-5.227478000317839,-7.086597789066322,-9.74723142086615,99.51077196520669,-1.0265645594518116,2.239998582396637,0.1910515996661047,-0.0117185933900422,-0.1794558241840071,-0.0011686988682842,-0.2058787552555678,-1.0265645594518116,2.239998582396637,0.1910515996661047,0.000292486101087,-0.1794558241840071,-0.0011686988682842,-0.2058787552555678,-0.3568427077750982
6,0,-0.0100908996537327,-5.22732869210952,-0.0100908512249588,0.0251822005957365,-0.0016509798588231,-5.227394382408339,-7.086917688789367,-9.747246655624773,99.51643304186364,-0.5114119866457174,0.7209771223652504,-0.1864342531375427,0.3213992898375219,0.0368571956455494,-0.0007683441308622,0.1533339416376016,-0.5114119866457174,0.7209771223652504,-0.1864342531375427,0.0013569234124162,0.0368571956455494,-0.0007683441308622,0.1533339416376016,0.0256111692844505
7,0,-0.0100903492420911,-5.2273153311046645,-0.0100929969921708,0.0251878015697002,-0.0016515260795131,-5.230111618040082,-7.08965572300647,-9.750130981377204,99.50591415821236,-0.8897614069751567,2.9480470550406173,-0.023697907459747,0.2687389555912677,-0.0298066134153769,7.513016829779895e-05,-0.044936713582964,-0.8897614069751567,2.9480470550406173,-0.023697907459747,-0.0017283104209822,-0.0298066134153769,7.513016829779895e-05,-0.044936713582964,0.0405790497387268
8,0,-0.0100904246792197,-5.227708295728585,0.0100907878950238,0.0251801442354917,0.001651128870435,-5.227329366122395,-7.086705342345931,-9.747008145101946,99.51750549961548,-0.8852781903747431,2.100784778274268,0.1688826866158455,-0.2580763968545826,-0.3288840864246083,0.0009364745588581,-0.0415105979855576,-0.8852781903747431,2.100784778274268,0.1688826866158455,0.0005740565133439,-0.3288840864246083,0.0009364745588581,-0.0415105979855576,-0.0621489024181344
9,0,-0.0100908745080232,-5.227353149136251,-0.01008977368474,0.0251771919429302,-0.001650883234106,-5.2274187086178,-7.086803477124417,-9.747179999757511,99.50719886861532,-0.0625959834720202,0.3877305416717056,-0.0595103070950388,-0.1274911144031655,-0.23495169685342,0.0018865127706018,0.037939412354665,-0.0625959834720202,0.3877305416717056,-0.0595103070950388,0.0005829636619774,-0.23495169685342,0.0018865127706018,0.037939412354665,0.318192850690359
