,label,eeg_act-0_feat-Px_band-Delta_ch-21,eeg_act-0_feat-Px_band-Delta_ch-27,eeg_act-0_feat-Px_band-Delta_ch-30,eeg_act-0_feat-Px_band-Theta_ch-21,eeg_act-0_feat-Px_band-Theta_ch-30,eeg_act-0_feat-Px_band-Alpha_ch-21,eeg_act-0_feat-Px_band-Alpha_ch-27,eeg_act-0_feat-Px_band-Alpha_ch-31,eeg_act-0_feat-Px_band-Beta_ch-21,eeg_act-0_feat-Px_band-Beta_ch-30,eeg_act-0_feat-Px_band-Beta_ch-31,eeg_act-0_feat-Px_band-Gamma1_ch-18,eeg_act-0_feat-Px_band-Gamma1_ch-21,eeg_act-0_feat-Px_band-Gamma1_ch-27,eeg_act-0_feat-Px_band-Gamma1_ch-30,eeg_act-0_feat-Px_band-Gamma2_ch-1,eeg_act-0_feat-Px_band-Gamma2_ch-3,eeg_act-0_feat-Px_band-Gamma2_ch-4,eeg_act-0_feat-Px_band-Gamma2_ch-9,eeg_act-0_feat-Px_band-Gamma2_ch-13,eeg_act-0_feat-Px_band-Gamma2_ch-18,eeg_act-0_feat-Px_band-Gamma2_ch-21,eeg_act-0_feat-Px_band-Gamma2_ch-22,eeg_act-0_feat-Px_band-Gamma2_ch-26,eeg_act-0_feat-Px_band-Gamma2_ch-27,eeg_act-1_feat-Px_band-Gamma2_ch-3,eeg_act-1_feat-Px_band-Gamma2_ch-18,eeg_act-1_feat-Px_band-Gamma2_ch-27,eeg_act-1_feat-Px_band-Gamma2_ch-30,eeg_act-2_feat-Px_band-Gamma2_ch-5,eeg_act-3_feat-Px_band-Alpha_ch-30,eeg_act-3_feat-Px_band-Gamma1_ch-27,eeg_act-3_feat-Px_band-Gamma2_ch-23,eeg_act-4_feat-Px_band-Gamma2_ch-9,eeg_act-5_feat-Px_band-Delta_ch-0,eeg_act-5_feat-Px_band-Delta_ch-2,eeg_act-5_feat-Px_band-Theta_ch-2,eeg_act-5_feat-Px_band-Theta_ch-5,eeg_act-5_feat-Px_band-Alpha_ch-2,eeg_act-5_feat-Px_band-Alpha_ch-5,eeg_act-5_feat-Px_band-Beta_ch-0,eeg_act-5_feat-Px_band-Beta_ch-2,eeg_act-5_feat-Px_band-Gamma2_ch-5,eeg_act-5_feat-Px_band-Gamma2_ch-16,eeg_act-5_feat-Px_band-Gamma2_ch-18,fnirs_act-0_Hb_feat-Px_band-vlfo_ch-5,fnirs_act-0_Hb_feat-Px_band-lfo_ch-0,fnirs_act-0_Hb_feat-Px_band-lfo_ch-5,fnirs_act-0_Hb_feat-Px_band-heartbeat_ch-0,fnirs_act-0_Hb_feat-Px_band-heartbeat_ch-1,fnirs_act-0_HbO_feat-Px_band-respi_ch-1,fnirs_act-0_HbO_feat-Px_band-heartbeat_ch-0,fnirs_act-0_THb_feat-Px_band-vlfo_ch-4,fnirs_act-0_THb_feat-Px_band-heartbeat_ch-0,fnirs_act-1_HbO_feat-Px_band-respi_ch-3,fnirs_act-1_HbO_feat-Px_band-heartbeat_ch-0,fnirs_act-1_THb_feat-Px_band-respi_ch-3,fnirs_act-2_Hb_feat-Px_band-heartbeat_ch-1,fnirs_act-2_HbO_feat-Px_band-respi_ch-0,fnirs_act-2_HbO_feat-Px_band-respi_ch-2,fnirs_act-2_HbO_feat-Px_band-respi_ch-3,fnirs_act-2_HbO_feat-Px_band-heartbeat_ch-0,fnirs_act-2_HbO_feat-Px_band-heartbeat_ch-1,fnirs_act-2_THb_feat-Px_band-respi_ch-3,fnirs_act-3_Hb_feat-Px_band-lfo_ch-1,fnirs_act-3_Hb_feat-Px_band-lfo_ch-2,fnirs_act-3_Hb_feat-Px_band-respi_ch-1,fnirs_act-3_Hb_feat-Px_band-respi_ch-2,fnirs_act-3_Hb_feat-Px_band-heartbeat_ch-2,fnirs_act-3_HbO_feat-Px_band-lfo_ch-1,fnirs_act-3_HbO_feat-Px_band-lfo_ch-2,fnirs_act-3_HbO_feat-Px_band-respi_ch-2,fnirs_act-3_THb_feat-Px_band-lfo_ch-2,fnirs_act-3_THb_feat-Px_band-respi_ch-2,fnirs_act-4_Hb_feat-Px_band-respi_ch-2,fnirs_act-4_Hb_feat-Px_band-heartbeat_ch-0,fnirs_act-4_Hb_feat-Px_band-heartbeat_ch-4,fnirs_act-4_HbO_feat-Px_band-lfo_ch-4,fnirs_act-4_HbO_feat-Px_band-respi_ch-0,fnirs_act-4_HbO_feat-Px_band-respi_ch-1,fnirs_act-4_HbO_feat-Px_band-respi_ch-4,fnirs_act-4_HbO_feat-Px_band-heartbeat_ch-0,fnirs_act-4_THb_feat-Px_band-lfo_ch-2,fnirs_act-4_THb_feat-Px_band-respi_ch-2,fnirs_act-4_THb_feat-Px_band-respi_ch-4,fnirs_act-5_Hb_feat-Px_band-lfo_ch-1,fnirs_act-5_Hb_feat-Px_band-respi_ch-1,fnirs_act-5_Hb_feat-Px_band-respi_ch-4,fnirs_act-5_Hb_feat-Px_band-heartbeat_ch-4,fnirs_act-5_HbO_feat-Px_band-heartbeat_ch-0
0,0,147.87711864785896,136.63683533563534,100.60372835886471,21.973245418323213,36.56750475132103,22.611807566578918,28.524273263878364,13.449798264296648,8.078749440891356,36.25189635207812,11.82186279089411,2.876650638711984,3.163304961240617,16.18226471661226,20.02995197336732,38.275847466965125,27.35471358700036,42.9071391711756,21.839359039652717,49.63804679636103,55.71043341606998,31.90313626773741,207.2156359619912,94.07084699430996,193.243260756096,21.503136323584087,40.70548863886175,156.47315919226946,136.9177658533847,23.101007651053173,21.65976774192881,13.976781737571306,141.59388466662037,22.881356760324,343365.64779041946,293284.3341859532,17490.895293233276,947.71254851243,4378.426726318093,322.9080227737866,211.4330145931623,812.7991372894685,30.514544518090645,584.1349811834154,86.65112338811663,0.0001868845416955,0.0001171140052324,2.8289726054735816e-06,2.9225185423980765e-05,3.817318479239278e-05,6.772492070429657e-05,3.4767304895016875e-05,1.014672678116631,2.5165391902508577e-05,8.727915323299678e-06,9.21749027419966e-06,2.6558067153879617e-05,1.1749978654323258e-06,4.208187187354056e-06,2.1064916715648613e-06,5.284004793983392e-06,7.919031336675017e-06,8.764596433814324e-06,1.1219485245322856e-05,5.9576105469024597e-08,1.177524579611545e-08,6.136263794008267e-06,1.0108695365371156e-06,1.4979045366154838e-06,6.372061177099414e-07,2.2605640403259587e-07,1.6916610904763725e-05,3.1788618678208906e-07,2.2736476969400927e-05,1.1887143800130704e-06,1.5570342760385326e-05,6.0278951688957554e-05,3.310512189754188e-06,5.645043335035194e-05,1.8232106976138103e-05,0.0003110250000196,1.6705611019564582e-05,3.251996971127659e-07,1.7414045375084217e-05,0.0011926805962191,1.3949302937171632e-07,7.407811734765845e-06,4.148152568070169e-05,9.438480458576284e-06,2.2476519262455333e-05
1,0,35.46917492786225,56.7747434950986,309.4675874838963,7.548339981055628,15.37394536087452,7.026275316480163,10.429262482886427,6.122793706747505,11.679980660034891,12.685545664008863,12.248959566882386,9.69421831497651,9.559634642855148,13.875420429333268,10.434655777054951,10.065261182432446,85.10587453580753,27.075552631584543,57.395562263413005,64.25867208005762,95.95370922642476,54.84282722073541,73.50714440055984,166.94637573863423,344.9818352660448,62.13755354150245,80.72885238308692,206.5723308850753,38.04983072362466,52.10848097327517,12.523310284647044,21.396188252718662,73.25240181094699,36.00173176793528,753.1040672750145,126.6668249664997,21.86069997824656,15.190214603534129,7.358936359191251,8.980061696755852,8.360320016221964,9.30847872303112,52.51150203593429,45.09383030178829,70.43101119008472,0.5899365714353209,0.0002802781062239,2.196180618453464e-05,1.5954901541622423e-05,7.7815605625471e-06,1.6589952592051874e-05,3.328617365396357e-05,2.6428689111937507,1.660519759389183e-05,5.9914184622526905e-06,7.760912408418538e-06,6.375950380690238e-06,2.9961964034435e-06,1.7819079358718273e-05,6.382936094846416e-06,4.328391258393021e-06,5.533053993861432e-06,6.418119280363351e-06,1.4729589695657552e-05,2.572376580335293e-07,7.290902252488372e-08,1.3191507712071047e-05,4.121353003171739e-06,1.810646204815623e-06,1.710854388409492e-07,1.618732890600773e-07,8.146996374425877e-06,3.690112746448595e-07,1.829285438439776e-05,1.493316803322142e-06,1.920005362938938e-06,1.80029841485216e-05,3.553140060628268e-06,1.9006022758212145e-05,2.285623504208349e-05,0.0001578638025971,6.76241895880912e-06,9.523044538670124e-07,4.3218425664211695e-05,0.0005284073796016,1.749535800471984e-06,7.824191453430762e-05,0.0006906275398702,5.4407984471795015e-05,2.1829964593010373e-05
2,0,20.65687309045288,148.52334691874796,39.2884790579657,6.183743009966845,25.88872500286081,7.005485629984914,45.34124008834353,11.489954783988514,13.132786876009598,32.66304866135163,20.35263756194502,6.466283267862736,7.524939183382018,40.88130465542198,22.69765540907381,8.741597577188159,72.71915993625629,26.864576189254347,93.95884707959551,54.40186706295246,89.49435854262599,78.57378963375315,277.2797811151856,324.62525631895653,394.3850512487071,62.87052551032937,83.16899615649548,395.8476952182151,158.6890707815314,79.94780335427299,12.12280994258148,30.466996378745986,281.5334254917206,51.58282692845141,153.1871415240067,81.64834728198555,10.217790767297725,6.698222915893299,6.339166277537482,4.900829095630098,9.762495463178086,9.580388709122335,71.85100973315998,154.6894609954373,143.8237720547489,0.0202460918825012,1.2351110173586357e-05,1.0328861141627087e-05,1.9229711126480766e-06,1.5807620808713284e-05,7.907550933988418e-05,2.226721163704993e-05,2.450528271025562,1.8642977428663803e-05,4.5740799668729584e-06,3.269317066554337e-06,1.3470650391320776e-05,6.2035480130488505e-06,4.458928444486418e-06,3.672760446332852e-05,5.201355107656192e-06,3.7083741725633847e-06,2.7045945047922188e-05,4.579000987582841e-06,1.455709851967362e-07,5.712379381881277e-07,7.687809347569822e-06,2.8525221776609503e-05,8.27083617239804e-06,5.298630923354703e-07,2.197952858968288e-07,1.4630782519497564e-05,1.1776128832049923e-06,6.46107789655096e-05,3.0256646866324284e-06,7.446152981169226e-07,4.510350004290843e-06,8.649714892092718e-08,9.195598133659318e-07,6.322988186316205e-06,5.302469779162921e-06,6.791354189027579e-06,9.241890503664988e-07,4.47351174629037e-05,2.760455234633016e-05,3.325952067611739e-07,1.5498506913202423e-05,2.3022487757990607e-05,3.6951816576578457e-06,7.699186524211245e-06
3,0,3472752.508761751,4283600.111211399,5469589.58216834,961992.7065593374,1503632.7363196125,367512.6900077983,453483.4117016079,621812.8585903131,41137.22417322187,64770.39252255944,69504.53033178166,12955.08612432134,7714.376902681043,9515.702706360737,12140.962359163676,64.20511197836133,60.59939028579875,84.81165241769334,73.38626255133691,73.24094378012802,69.3436036712584,52.2578800148729,90.83075479471418,75.55976962492163,96.422916195489,313.5143530862692,292.82150406746774,288.22808071332634,300.011094065795,340.0995402787088,9946252.520080416,190742.35082977783,252.31165941028075,301.58454018388386,65512055.94248173,56254915.33695683,15581292.781985529,14756647.240178218,5956677.063338746,5652778.453423034,774415.2386866193,666065.3568443834,892.5948739748247,202.1957431662614,265.10610004913656,12.01505176895594,5.71964232933207e-05,0.0003489810739064,3.3324751146406237e-06,1.3379481808471395e-05,4.13948891442469e-05,1.8771464590806107e-05,1.0022888596815835,1.2077579814035503e-05,1.318136142908728e-05,3.450807218384144e-06,2.098672927276254e-05,5.198753598428954e-06,1.596087700973493e-05,2.7187517891601077e-05,4.991088658959044e-06,3.2723879484483952e-06,1.0550916456199878e-05,2.2828230914985147e-05,1.4965848585573571e-06,6.285829352511203e-06,6.735162505886248e-05,0.0002809517682955,4.119992950151047e-05,1.5851910330985418e-06,3.1355083990370195e-06,0.0001463563410729,1.728696846534243e-05,0.000785058758342,0.0002300384819518,2.6227780527999817e-06,8.700945056260028e-06,1.0090744495164025e-06,9.49477172489023e-06,8.848943813469741e-05,4.829483300997317e-05,2.3359055418023736e-06,1.008694063103442e-05,0.000498727037746,5.484158353289743e-05,3.990718407324945e-06,0.0001619304162727,2.1888970999657704e-05,4.415999148729013e-06,2.131298622770721e-05
4,0,4003217.6640153658,4366458.882586533,3433589.015524221,1107187.1992834136,957677.0493339188,423928.5401741772,462161.3033212229,253274.91600798516,47382.71360100193,40629.85777094673,28301.496272010754,9942.336268226398,8897.272615004382,9699.155779887828,7627.546081178161,62.49091649466688,64.79742197651541,70.52062178547425,80.83265294340336,70.44831270152623,71.31477830193151,58.917623742853465,48.0144981924248,48.1879484128295,39.93743702335352,276.65437679094424,249.8040262243717,260.0061700422892,221.36199389195997,334.430156764218,9184658.259123316,237498.9074294245,305.4963909141146,329.3873223416665,127702794.30349006,137566763.15155485,38202277.34502244,31496279.188425884,14600922.498437472,12095952.545218416,1518614.3694396096,1627737.3721125412,415.99507229693353,441.2543889770379,425.63713478090887,10.486213799962467,2.5284519198403933e-06,0.000526462071143,8.719046979471932e-06,6.902746799055975e-05,2.5135558949729104e-05,7.920259459242344e-06,0.009011951817219,6.118576330760713e-06,8.676086248441091e-07,1.50816617627321e-06,6.18147705964362e-07,1.8238851286871857e-05,9.205526830019616e-07,5.7274245542307394e-05,1.3233199653780835e-06,2.3700277847509508e-06,5.7839433643333854e-05,7.467494379592422e-07,2.674935404096263e-06,1.245513244952131e-05,0.0001225320652529,0.0005439890904582,8.988098435750459e-05,2.2383145815727883e-06,4.263991970040695e-07,2.4652996483203892e-05,1.391859010687117e-05,0.0006100148747344,0.0009011920286866,5.125884321592635e-07,0.0001443597341102,1.5856204548094543e-06,9.205839544485246e-07,0.0001217855646289,7.591552405096276e-05,1.5144120163157157e-06,2.6451342586844955e-05,0.0011453590294679,0.0007204009621332,4.786107689017599e-07,3.681221056155083e-05,9.457928158508829e-05,3.824364286559356e-05,1.2376171099450293e-06
5,0,1984527.68445191,5356243.796194409,3322734.354102256,549728.599307642,923235.8186935274,210054.31348524723,566880.893558486,446414.0411413982,23479.092526030083,39319.36011555992,49888.87844090549,11388.145792286956,4417.064830006506,11885.445718385785,7393.661868088142,132.75804451740697,69.03463651892315,207.71518682522492,37.42451345678065,103.5472861073354,115.27799225389668,129.34072388296042,185.0666960337572,87.29539094562567,67.02308750252008,328.94162356972345,330.86785624496207,369.9612260218137,326.5159418079256,374.0936116954703,8530530.355793336,303422.44801837584,513.3459573407887,300.195500269416,115048612.60340951,122253030.63397534,33806069.657166265,24771177.93501799,12944729.805186275,9455134.987300754,1361457.5100629155,1446440.2837473515,416.4637954728648,361.2824286582128,400.7640295827828,0.031705151084713,5.977314499732864e-07,0.000258134696138,3.3012577497175013e-06,0.0001046773711951,3.292043856412562e-05,9.340658710830007e-06,0.2660806536434679,5.6488408635589584e-06,1.2415276883882312e-06,1.4180675672342489e-06,2.951214951841572e-06,3.208569505124441e-05,7.190510454887666e-07,4.6392988930769305e-05,7.622187312685203e-07,1.51586296943373e-06,7.731864686851865e-05,4.62105601388339e-06,1.3988271667565691e-06,7.489582192120029e-07,8.904664054279471e-05,5.439042730394804e-05,1.773513344428061e-05,3.389702610667969e-07,4.030938126708906e-07,2.606360326817604e-05,1.4051373898643286e-06,0.0001121952049232,0.000249364396541,2.456297657818437e-06,0.0001317169301596,4.497045746434742e-06,1.5179073142846104e-06,0.000170720876443,0.0002128607581688,1.2620275462542707e-06,1.3749325251712927e-05,0.0006548083621699,0.0018307693001903,2.179675697814397e-06,8.944479872354803e-05,0.0002560615921826,4.48970943408859e-05,1.175587603076981e-06
6,0,14735271.913329506,10190051.326487402,5392128.224436462,4065917.116685903,1498622.8355628392,1560102.360352682,1078384.8260681054,274059.09007679234,174358.81173380083,63862.87143407744,30695.660785443484,22270.42064570414,32721.152569710164,22647.141536685933,11986.517035896131,138.47968001170833,98.08728657009124,449.5275019673231,153.6333229512865,69.58477636175317,299.6223818996697,81.3990958677768,437.4293252518345,191.3915344394536,678.3750426980187,428.0767458355301,639.973957383594,774.0637659131723,572.6418489007744,630.762699576307,13304900.404672254,131392.8913250399,1435.49173435569,1075.982078331174,192729716.9834828,161675192.12780407,44650955.628232665,39189335.17647506,17111895.704288993,14993361.287792357,2280021.445440716,1912289.924213374,592.3281959090738,493.6488897231328,642.817743106876,0.0363641492257471,2.0603677466818377e-06,1.5159382993579735e-05,1.0990709015513457e-05,3.931220784549937e-05,2.1171753287700044e-05,1.1629403293249736e-05,1.109828426185273,4.945526359721426e-06,1.696578934822348e-06,2.3415989381424234e-06,5.8105832778131255e-06,3.242669357929406e-05,1.1054115327820794e-06,5.461005304235053e-05,1.463468935444177e-06,1.8268391306905469e-06,4.558441443414334e-05,8.426674483914324e-07,9.138854587197756e-06,1.0504927729869004e-05,0.0004061662640019,0.0004669874873433,7.079934677755186e-05,7.352536289835785e-07,1.2037247715756376e-06,5.27729962791444e-05,6.548051224773448e-06,0.0003011545353731,0.0002309763806666,2.2387334864311995e-06,5.0561688165809215e-05,3.224581317492169e-06,1.246683383446905e-05,3.769080263918899e-05,0.0001746762039222,2.711835149807452e-06,8.500819431330856e-07,6.957568909076593e-05,0.0002631545251227,8.103880854103577e-07,4.899919412418958e-05,0.0002634221197106,2.9026185548722443e-05,2.7586944535192664e-06
7,0,2770763.091096931,524667638.82164943,9977623.48535837,766064.9211157958,2745802.934279397,293361.54865635524,55542398.39270946,473554.8829975757,32770.751714560225,118017.31084661724,52930.19127093727,27535.2208033985,6154.445019457471,1165006.7696413926,22152.955493306126,66.2043980327321,62.80263443960556,45.14014528641236,505.433046648807,316.8014414162508,156.06528933038965,108.74709941343912,269.643530783983,115.91406772070486,2492.181831331329,347.1660498449954,625.8332718152126,22314.201953535947,604.8952144067084,528.1756138423243,12882337.743221331,15020534.716600766,788.2195557995072,606.2408089468389,179566215.71409473,194910267.1376592,54107788.55934421,48303902.35568784,20638858.745885074,18521833.47789304,2124667.254030226,2306424.9015590097,603.6372687080807,717.8708051145655,583.0871579115346,0.0080480304825531,1.1001491132172666e-05,3.0454606402095123e-05,4.642560303882577e-06,1.9524474884704983e-05,7.37783749771473e-05,2.712380820776559e-05,0.0227168015809413,2.332350057439468e-05,3.4833739956264734e-06,2.2063821294440867e-06,5.064813781495853e-06,3.97203856508105e-06,3.935646585195296e-06,8.085320198244945e-05,8.72009781356252e-06,1.832307939254056e-06,6.037903185283042e-06,1.0818015844702746e-05,2.47122813215627e-06,8.466252762051224e-06,0.0001131222340363,0.0003820455681703,5.52050163932032e-05,1.2412306699287268e-07,6.446450267395853e-07,3.540157359047515e-05,1.3506165720979094e-05,0.0006245534674822,8.021851247440324e-05,8.975823718976913e-07,3.937388223767492e-06,5.077057777528178e-07,4.554004937810846e-06,4.4224495761794e-06,2.66847598730933e-05,2.466421471629252e-06,3.412938834166736e-06,0.000170934144776,7.454982293894756e-05,3.2243145615088817e-06,0.0001395604209404,4.120128725253741e-05,8.38258085687023e-06,2.4578371841683785e-06
8,0,5688552.645625229,5595190.753688131,6121759.064541524,1577405.2824219894,1693591.593481975,602095.6996900609,592183.4877821343,959195.4216538698,67270.13108505544,72406.93786597677,107191.27925654476,31316.67791574297,12633.3974149842,12442.851818074409,13605.04789580476,50.04996547553516,40.71635326175422,89.58027802566559,283.3281942682803,318.18646129075256,157.62596568250368,206.00828831410945,284.5967103401984,135.33143204297238,509.62535113769945,572.0181934377015,757.4833313754668,739.7175478347372,704.6249131537315,517.2431185571002,17033868.72095597,302388.2000821609,642.9273060668861,704.2313047593526,5192489468.537796,3828183492.50226,1059290345.647851,39820090.17131155,405380022.0539491,15216200.82474698,61449110.22586463,45314173.913511045,11093571.064547405,1350614.5243885154,17260152.525941573,0.0167545364063806,1.226975001279521e-05,4.935709665551555e-06,3.34139285280658e-06,1.4909065466602883e-05,1.7454466002545233e-05,1.712669788394427e-05,0.158889997560056,8.66083512662286e-06,4.3846452399798585e-06,2.028542488758746e-06,6.896139035389247e-06,1.819682245404536e-06,2.560943386762673e-06,7.7714137876683e-05,9.735371940440394e-06,1.6204458981360966e-06,1.8148791571215604e-05,8.467007086147523e-06,1.2949976141483402e-06,8.35794839400368e-07,7.811238212679371e-05,4.537315521168812e-05,7.872640035238266e-06,3.778018200247352e-06,2.4403005158305256e-06,0.0001176003020291,4.514288828996104e-06,0.0002322694303065,1.4097467835568083e-05,5.432998418786082e-07,2.4409179279573388e-06,2.824540405962649e-07,1.7946500403013048e-06,3.196361673596164e-05,1.39677015145027e-05,2.0006644482675243e-06,6.991470770706097e-07,3.464442893513452e-05,1.4542475179513453e-05,1.374690697142738e-06,0.0001399331785411,0.0001214705540666,2.3837847750353985e-05,2.3712192246731724e-05
9,0,3058968.67312426,2199677.021686331,5107021.761865674,846765.514327556,1418834.032289575,323815.0778626137,232164.86549899448,275329.22985466424,36155.72523507253,60396.506606021525,30759.450322697045,2125.6191878924574,6802.951965342114,4902.237429179956,11360.641744933366,22.27124398869475,44.06158041866394,72.14799409774079,147.548975491182,652.6026393998665,220.30597487550895,151.60808709028203,795.3390693035518,344.5344399670618,449.4347841256152,481.0386239516126,336.0199462052413,355.9014740192698,512.1215116037772,785.3283418087766,10576585.19972658,105662.79972497898,268.8004689489919,437.2694021321091,2303322998.7130656,67932792.24413694,18767539.713187467,55742550.87006885,7194070.102455206,21342939.782892365,27250912.630464923,804453.12165299,1905165.711378371,2248784.7079867576,2112853.641155129,0.160912213455063,2.008451170240293e-07,1.1369887263629236e-05,5.365767672874324e-06,5.935504692753764e-05,1.526693687907176e-05,2.3832822639557424e-05,1.0161461141246564,2.6110351907764287e-05,8.030261770811449e-07,5.058713591711322e-06,5.580348549656557e-07,7.795585210801008e-06,1.7143666392411633e-06,2.4007039877376906e-05,1.3413558756364793e-06,4.055367425662336e-06,4.661172925082611e-05,1.1671570361340326e-06,1.2589414737261152e-08,5.663852030906162e-08,2.4286004341720388e-06,3.3745990509976667e-06,8.25066696526735e-06,5.82262006364878e-07,3.9418974154627465e-07,1.902070378660505e-05,3.010122514769948e-07,1.5793870014570602e-05,1.6194648939960614e-05,1.269878857041197e-06,6.554391949339738e-06,6.258057656693828e-07,3.712841344434135e-06,6.708800405133557e-05,2.8705286097361575e-05,4.830673208441642e-06,3.9942480303627833e-07,2.2302848215748444e-05,1.6866974475772743e-05,5.004997620811085e-07,2.7603532771450624e-05,4.300701190515513e-05,2.89132154980458e-05,4.226155998823685e-06
