,label,eeg_act-0_feat-Px_band-Delta_ch-0,eeg_act-0_feat-Px_band-Delta_ch-30,eeg_act-0_feat-Px_band-Alpha_ch-21,eeg_act-0_feat-Px_band-Alpha_ch-30,eeg_act-0_feat-Px_band-Beta_ch-21,eeg_act-0_feat-Px_band-Beta_ch-31,eeg_act-0_feat-Px_band-Gamma2_ch-4,eeg_act-0_feat-Px_band-Gamma2_ch-13,eeg_act-0_feat-Px_band-Gamma2_ch-22,eeg_act-0_feat-Px_band-Gamma2_ch-27,eeg_act-0_feat-Pm_band-Delta_ch-21,eeg_act-0_feat-Pm_band-Delta_ch-27,eeg_act-0_feat-Pm_band-Delta_ch-30,eeg_act-0_feat-Pm_band-Theta_ch-30,eeg_act-0_feat-Pm_band-Beta_ch-21,eeg_act-0_feat-Pm_band-Gamma1_ch-21,eeg_act-0_feat-Pm_band-Gamma1_ch-27,eeg_act-0_feat-Pm_band-Gamma2_ch-9,eeg_act-0_feat-Pm_band-Gamma2_ch-13,eeg_act-0_feat-Pm_band-Gamma2_ch-21,eeg_act-0_feat-Pm_band-Gamma2_ch-22,eeg_act-0_feat-Pm_band-Gamma2_ch-24,eeg_act-0_feat-Pm_band-Gamma2_ch-27,eeg_act-0_feat-Pd_band-Delta_ch-21,eeg_act-0_feat-Pd_band-Theta_ch-30,eeg_act-0_feat-Pd_band-Beta_ch-21,eeg_act-0_feat-Pd_band-Beta_ch-27,eeg_act-0_feat-Pd_band-Beta_ch-30,eeg_act-0_feat-Pd_band-Gamma1_ch-21,eeg_act-0_feat-Pd_band-Gamma1_ch-30,eeg_act-0_feat-Pd_band-Gamma2_ch-0,eeg_act-0_feat-Pd_band-Gamma2_ch-4,eeg_act-0_feat-Pd_band-Gamma2_ch-9,eeg_act-0_feat-Pd_band-Gamma2_ch-13,eeg_act-0_feat-Pd_band-Gamma2_ch-22,eeg_act-0_feat-Pd_band-Gamma2_ch-27,eeg_act-1_feat-Px_band-Gamma2_ch-3,eeg_act-1_feat-Px_band-Gamma2_ch-18,eeg_act-1_feat-Pm_band-Theta_ch-5,eeg_act-1_feat-Pm_band-Gamma2_ch-27,eeg_act-1_feat-Pd_band-Alpha_ch-5,eeg_act-1_feat-Pd_band-Gamma1_ch-5,eeg_act-1_feat-Pd_band-Gamma2_ch-18,eeg_act-1_feat-Pd_band-Gamma2_ch-24,eeg_act-1_feat-Pd_band-Gamma2_ch-27,eeg_act-1_feat-Pd_band-Gamma2_ch-30,fnirs_act-0_Hb_feat-Px_band-lfo_ch-0,fnirs_act-0_Hb_feat-Px_band-lfo_ch-5,fnirs_act-0_Hb_feat-Px_band-heartbeat_ch-1,fnirs_act-0_Hb_feat-Pm_band-lfo_ch-5,fnirs_act-0_Hb_feat-Pd_band-lfo_ch-0,fnirs_act-0_Hb_feat-Pd_band-heartbeat_ch-1,fnirs_act-0_HbO_feat-Px_band-heartbeat_ch-0,fnirs_act-0_THb_feat-Pm_band-vlfo_ch-4
7,0,14301275.75350584,9977623.48535837,293361.54865635524,1056154.2165262424,32770.751714560225,52930.19127093727,45.14014528641236,316.8014414162508,269.643530783983,2492.181831331329,21478.7836519142,4067190.9986174377,77345.91849115017,21285.294064181373,254.0368349965909,47.70887611982536,9031.060229778235,3.9180856329364886,2.455825127257758,0.843000770646815,2.090259928558008,0.677711187567679,19.31923900256844,160180.48349328054,138792.3411857438,1461.8722984785572,277140.2214081701,5264.848841498467,226.430961538881,814.7740461359792,1.1869102110961631,0.8132122498526635,25.496220959744736,16.73812477058447,12.98162000147238,55.4143700540029,347.1660498449954,625.8332718152126,334359.4896530056,172.97830971733293,742909.9661345553,12726.979359862478,13.442359942871612,10.34834879378274,499.27435055181513,13.658723435246095,1.1001491132172666e-05,3.0454606402095123e-05,1.9524474884704983e-05,2.3608222017128005e-07,4.4498638332204253e-07,5.699172881521335e-07,2.712380820776559e-05,0.0001760992370615
8,0,9599645.444940591,6121759.064541524,602095.6996900609,647961.9468499286,67270.13108505544,107191.27925654476,89.58027802566559,318.18646129075256,284.5967103401984,509.62535113769945,44097.307330428135,43373.57173401652,47455.4966243529,13128.61700373624,521.4738843802747,97.93331329445115,96.45621564398766,2.196342591226979,2.4665617154321904,1.596963475303174,2.2061760491488247,0.9410046622990408,3.9505841173465073,328818.69005661673,85471.51447330097,3000.04512853508,2950.273337338368,3229.083906974911,464.2519762261122,500.0082023476919,0.7410688241180085,2.4405341869190584,12.650523798585194,16.048868111066387,13.728906963671909,25.74366306294682,572.0181934377015,757.4833313754668,330003.82748701726,5.734244556858429,733330.0775889788,12561.216403916213,16.20149372474101,11.68137015386062,17.072907917934458,14.721330876884949,1.226975001279521e-05,4.935709665551555e-06,1.4909065466602883e-05,3.8261315236833766e-08,5.264755834503363e-07,5.239195955819948e-07,1.712669788394427e-05,0.0012317054074422
9,0,3253080.0825619777,5107021.761865674,323815.0778626137,540132.0489644053,36155.72523507253,30759.450322697045,72.14799409774079,652.6026393998665,795.3390693035518,449.4347841256152,23712.935450575656,17051.759858033573,39589.31598345484,10998.71342860136,280.27693980676383,52.73606174683809,38.00184053627873,1.1437905076835817,5.058935189146252,1.1752564890719537,6.165419141887998,0.5738087234263755,3.4839905746171724,176829.22030142398,71689.05046665957,1612.1552156049936,1157.9323768485422,2693.35323909164,250.2878484750617,417.9305167234642,0.4904524882767522,2.544039614364589,6.187494414120071,35.87123847615918,43.16301673809605,22.241946624168357,481.0386239516126,336.0199462052413,523207.4127318573,2.758926155188139,1161765.04599348,19900.17625872115,7.134651902594515,7.185351363308568,9.150137102527012,10.640010354410396,2.008451170240293e-07,1.1369887263629236e-05,5.935504692753764e-05,8.81386609583662e-08,8.829857281789211e-09,2.9747233389192915e-06,2.3832822639557424e-05,0.007877101659881
10,0,5402821.365034639,93786593.27365662,320424.8523488268,9920063.408855934,35778.35125370087,55950.971116987086,32.0872860258601,38.3425507733402,231.4995761240328,216.376266837747,23461.236411138118,27484.845368518232,727027.8548345475,200730.99830013703,277.3515601062083,52.123021614663166,61.170093240703146,2.1881485396136022,0.2972290757623271,1.2113522050231422,1.794570357550642,0.6391213754382785,1.677335401843,174950.8422093317,1307230.301137471,1594.4270747675623,1867.5823305286815,49423.56981960336,247.0286274467007,7647.602701048501,0.4191627761397319,0.7321336938043103,12.62824134508184,0.793280842117627,10.688019630593043,9.03210937381324,436.2811708422568,444.1468006446138,297262.1293206953,2.800619703832665,662810.1675087642,11355.10356685942,9.35707862479032,6.840653906483986,7.529243479278922,12.340939610945842,7.681869941003467e-06,3.793058410631176e-05,5.849006038764355e-05,2.940355357078431e-07,3.269258343060849e-07,2.527570842786903e-06,4.632978583429488e-05,0.0076372052442512
11,0,3398412.0580409826,4315650.762907315,157334.1258761803,457091.3152204132,17554.453734538638,24083.440397156053,146.46152984300122,1044.166412432553,314.94812756472606,184.09573204861348,11514.522103242569,15507.6110528171,33454.65707680089,9311.063144850295,136.0810367018499,25.690531042007823,34.5547407651906,2.83156148870543,8.094313274670954,1.2275742289756235,2.4414583532149305,1.190980566812146,1.4270986980512674,85858.51848252035,60689.66486270318,782.2078670722553,1052.6667939769832,2274.8694728456303,121.85128293532202,353.17509386088886,0.6206213685116438,6.585950315539558,17.219391915313704,57.56609013879499,15.825245788849513,8.387527689238741,265.81978069554043,461.6045931295729,271304.78507559083,2.97397012891636,604471.1227879433,10351.732516912609,14.500995921791375,6.512075251105351,10.515505872236089,9.417856457976857,5.406064072899349e-06,4.55001230329056e-05,4.86946111464215e-05,3.5271413203802786e-07,2.074962311414485e-07,2.074655458900427e-06,3.780689079031708e-05,0.0002289202550611
12,0,6895630.419683074,4089221.9349060343,558952.3653951753,432603.0142596679,62489.45300087448,16821.065898466954,63.236718061942135,509.0472791611415,943.2279882717464,436.3332187291769,40928.41620697641,827.6796840524818,31699.394844232826,8709.62214747072,484.41436434786414,90.88244317226815,1.9231654746514133,6.614140461232458,3.946102939233655,0.352953563867916,7.311844870323616,3.0587502130839845,3.382428052164161,305183.589787847,56696.58857689364,2788.4048685733737,56.978397048869496,2162.288448744094,431.3184170804533,335.1836401836627,3.0386024981356248,1.755544865016342,46.046951196432126,28.322848765038792,53.61014229593207,23.899659930588,440.35728064227726,629.7413797215115,246473.2522745934,3.35890437083708,546748.2117360781,9362.982923523952,13.283782554889337,15.39208358690471,16.528025698100762,40.59624448743069,3.201258066306925e-06,2.689759061090332e-05,7.421362475805604e-05,2.0850845434808775e-07,1.5896012737646048e-07,3.009848838627977e-06,5.4184975743410056e-05,0.0017064715107117
13,0,5984798.557949782,1158818.5100519075,173373.70854502692,122779.9002232563,19393.140048322104,1869.5164303808367,127.33271591936274,2782.548922326076,1235.4586770893895,595.952317130052,12688.03663612566,18131.544051470555,8983.089225208587,2473.5084159968237,150.33441897924112,28.164959602592084,40.329440706121,0.9443389264652444,21.570146684698265,1.8473424045287723,9.57719904720457,2.075016290131497,4.619785404108931,94624.58728244808,16117.870754426416,864.9003858080223,1236.9629650209,614.0827651172543,133.23403005688098,94.38473790214996,1.4125812835852103,5.988691583984997,3.877887541302605,161.02221119617994,69.76424113627732,30.88404979432392,333.8082649166518,977.7832666540826,224338.2759359511,3.0602538490222204,498665.5823737342,8543.99142072384,39.79645775615044,8.199673304859989,10.445636468817463,10.372566062765442,8.525853245734153e-07,1.1563984606385074e-05,4.8912845059217e-05,8.964329152236493e-08,4.2034752508962046e-08,1.8857907052482396e-06,1.537433537754096e-05,0.0001245496070254
14,0,4982930.061248949,1880699.2547797265,305904.44363228686,199258.8062790914,34195.689749221805,29984.258939115596,29.51686541153538,204.25653278051823,920.1906285882676,277.5529824328675,22402.883326052568,3977.866648487939,14579.063990540517,4035.7510770872505,265.08286627303727,49.73285385794908,9.02231431196255,0.5765432407948202,1.5833839750427772,0.8177165900173324,7.133260686730756,0.1868538730795451,2.151573507231531,167069.08529158545,26301.144855803315,1525.387477187791,271.48735143121405,993.8092025384636,235.8885179693881,154.0718385053475,0.4213019830885747,0.515820348673673,2.777048742382469,10.069995805654436,48.96109018152248,12.870068795452651,493.5020087594565,649.2139489671823,264229.11317221506,4.0857948209739146,587917.6195911834,10072.306085196336,13.593026007720898,10.882952269333234,10.767582122881452,9.867505269751296,1.7679500598682334e-05,7.493437306987421e-05,0.0001450879683289,5.808866129447613e-07,7.870589204243724e-07,8.306531895026546e-06,0.0003605556875555,0.0017373645127369
15,0,14483871.13730698,2298.925263294835,427103.2958892762,234.6641771971662,47697.107864090816,18398.01200399739,228.62316197604744,60.950687870153146,174.57707220473998,116.84996778762832,31261.04940169828,547.1199994670129,17.821126072052984,4.743808206374253,369.7450222022544,69.40654071920032,1.3090882706622224,0.498190693578178,0.4724859524818073,0.3380200146860259,1.3533106372460464,0.4208409092264883,0.9058137037800644,233106.72809661852,30.862073258772934,2127.928565270258,37.37688852077599,1.4986455736428326,329.22114235903103,0.5306118313700259,1.1466233071570031,2.526969208944013,0.8592459685506405,0.925453442893626,7.414646726528246,4.337193881064013,477.5509386319756,294.99698623345176,271072.5948171217,1.3294530037731898,603317.5840119312,10333.187752525437,6.657606540947704,7.259535043177991,3.4940961898267693,2.704331219732065,4.891639714081311e-05,0.0004040685844477,9.69995364310423e-05,3.1323146081219013e-06,2.272674011179654e-06,5.2404096141153e-06,9.48122859337328e-05,0.008943839091996
16,0,19136838.808458157,7213853.24263903,1033106.1285188772,763522.6497633242,115437.57170891509,119484.54587775402,77.8761618951757,154.64651426135418,162.30016281771375,345.84130212988293,75627.65986039596,5596.649886797646,55921.34296619403,15604.490585493764,894.864896968334,167.89517774698328,12.72350616179016,0.4949586204328142,1.198810188072513,1.008603930494904,1.2581407970365408,0.5084837042512149,2.68094032658824,563909.8582704411,101552.10346340928,5149.63844274728,380.3630754845611,3807.824951839025,796.4609995674089,588.9889654025131,1.560896397692274,1.6514632252160637,1.1844022661208826,6.254552590457066,5.627646700969581,14.184393991565926,630.5825092348955,621.1203425068272,404659.81005974143,2.142726727702285,899767.5505173772,15417.782244447995,12.694960620848702,11.002467109420484,10.378368716885747,14.602196499226542,9.142816051681894e-07,7.788725590003283e-06,1.4957541383455208e-05,6.037771775196344e-08,4.84235403536581e-08,3.8130772874669473e-07,2.487659977658021e-05,0.0073110968209657
